date,open,high,low,close,volume
1361664000,10100.0,10099.0,9900.0,9900.0,20
1361750400,9900.0,9898.0,9898.0,9898.0,10
1362268800,9898.0,9750.0,9750.0,9750.0,10
1362528000,9750.0,9300.0,9300.0,9300.0,190
1364083200,9300.0,9486.0,9486.0,9486.0,20
1364428800,9486.0,9298.0,9298.0,9298.0,30
1366070400,9298.0,9483.0,9483.0,9483.0,10
1366502400,9483.0,9672.0,9600.0,9672.0,40
1367452800,9672.0,9672.0,9672.0,9672.0,10
1368489600,9672.0,9865.0,9700.0,9865.0,20
1368662400,9865.0,9800.0,9800.0,9800.0,100
1368921600,9800.0,10100.0,9996.0,10100.0,290
1369612800,10100.0,9898.0,9898.0,9898.0,30
1369872000,9898.0,9792.0,9792.0,9792.0,10
1370217600,9792.0,9986.0,9986.0,9986.0,50
1370304000,9986.0,10000.0,9987.0,10000.0,20
1370476800,10000.0,10000.0,10000.0,10000.0,10
1371340800,10000.0,10000.0,10000.0,10000.0,150
1371513600,10000.0,10000.0,10000.0,10000.0,120
1371686400,10000.0,10000.0,10000.0,10000.0,60
1371945600,10000.0,10000.0,10000.0,10000.0,30
1372032000,10000.0,10000.0,10000.0,10000.0,20
1372291200,10000.0,10000.0,10000.0,10000.0,120
1372723200,10000.0,10000.0,10000.0,10000.0,40
1372896000,10000.0,9998.0,9998.0,9998.0,30
1373155200,9998.0,10000.0,10000.0,10000.0,20
1373414400,10000.0,10000.0,10000.0,10000.0,20
1373500800,10000.0,9900.0,9800.0,9800.0,790
1374364800,9800.0,9905.0,9905.0,9905.0,20
1374710400,9905.0,9905.0,9900.0,9900.0,60
1376265600,9900.0,10098.0,10098.0,10098.0,10
1376870400,10098.0,10250.0,10046.0,10046.0,280
1376956800,10046.0,10046.0,10046.0,10046.0,100
1377734400,10046.0,10200.0,10200.0,10200.0,10
1377993600,10200.0,10000.0,10000.0,10000.0,30
1378080000,10000.0,10000.0,10000.0,10000.0,20
1378684800,10000.0,10000.0,10000.0,10000.0,20
1379894400,10000.0,9800.0,9800.0,9800.0,10
1380067200,9800.0,9800.0,9800.0,9800.0,10
1380585600,9800.0,9800.0,9800.0,9800.0,30
1380758400,9800.0,9996.0,9996.0,9996.0,10
1381104000,9996.0,9996.0,9996.0,9996.0,30
1381363200,9996.0,9999.0,9999.0,9999.0,40
1381968000,9999.0,9999.0,9999.0,9999.0,10
1382227200,9999.0,10000.0,10000.0,10000.0,10
1382313600,10000.0,10000.0,10000.0,10000.0,20
